author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ID 112591621;homeowner;https://www.cian.ru/sale/flat/301839935/;Москва;sale;flat;13;45;2;51.0;31500000;Дорогомилово;Кутузовский проезд;16А/1;Деловой центр;River Park Кутузовский
PIONEER;developer;https://www.cian.ru/sale/flat/301513284/;Москва;sale;flat;4;22;2;47.2;24921930;Марьина роща;Полковая ;1С12;Савёловская;PRIDE
ID 86900871;realtor;https://www.cian.ru/sale/flat/297947020/;Москва;sale;flat;2;3;2;46.3;56000000;Басманный; Маросейка;11/4С1;Китай-город;
Tekta Group;developer;https://www.cian.ru/sale/flat/303224329/;Москва;sale;flat;7;34;2;41.4;21296160;Обручевский;;;Воронцовская;Эвер ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/302967733/;Москва;sale;flat;10;12;1;49.0;10500000;; Липовый Парк;4к1;Коммунарка;
Мангазея;developer;https://www.cian.ru/sale/flat/301581592/;Москва;sale;flat;9;21;2;74.2;36238909;Щукино;Щукинская ;;Щукинская;Интонация
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303753500/;Москва;sale;flat;3;5;2;69.3;52000000;Хорошевский;Ленинградский проспект;37/5;Аэропорт;Прайм Парк
Киноцентр;developer;https://www.cian.ru/sale/flat/302253810/;Москва;sale;flat;7;20;2;54.85;54795150;Пресненский;Дружинниковская ;15;Краснопресненская;SkyView
Центр Недвижимости Татьяны Анисимовой;real_estate_agent;https://www.cian.ru/sale/flat/299242534/;Москва;sale;flat;1;3;1;44.0;9800000;; Нильса Бора;6;Коммунарка;
COLDY;developer;https://www.cian.ru/sale/flat/303330158/;Москва;sale;flat;2;15;2;70.8;54813512;Даниловский; Серпуховский Вал;7;Тульская;Дом 7 Даниловский
Времена года;real_estate_agent;https://www.cian.ru/sale/flat/303088020/;Москва;sale;flat;6;7;2;94.0;130000000;Хамовники; Льва Толстого;23С5;Парк Культуры;Литератор
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/304172962/;Москва;sale;flat;4;7;2;66.2;25745180;;;В17 кв-л;Опалиха;Сберсити ЖК
Центрис;real_estate_agent;https://www.cian.ru/sale/flat/303535806/;Москва;sale;flat;9;15;2;97.25;126500000;Хамовники; Усачева;15;Спортивная;Садовые кварталы
MR Group;developer;https://www.cian.ru/sale/flat/300287958/;Москва;sale;flat;33;43;2;58.83;27333836;Савеловский;2-я Хуторская ;34;Дмитровская;SYMPHONY 34
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301565559/;Москва;sale;flat;5;21;2;117.0;115000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Среда;developer;https://www.cian.ru/sale/flat/303859205/;Москва;sale;flat;6;27;2;53.6;20630640;Очаково-Матвеевское;Очаково мкр;;Аминьевская;Среда на Лобачевского
САДОВЫЕ КВАРТАЛЫ;real_estate_agent;https://www.cian.ru/sale/flat/303087912/;Москва;sale;flat;9;14;2;110.0;124890000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
Sense Development;developer;https://www.cian.ru/sale/flat/300501957/;Москва;sale;flat;7;13;2;64.9;35782232;Даниловский;Подольское шоссе;3;Тульская;Logos
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/272003903/;Москва;sale;flat;5;6;2;43.0;27500000;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/303040420/;Москва;sale;flat;4;6;2;74.91;124200780;Замоскворечье;Космодамианская набережная;4/22С8;Новокузнецкая;Клубный дом Космо 4/22
Бюро Эстейт Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/301212653/;Москва;sale;flat;2;24;2;57.4;26000000;Хорошево-Мневники;Шелепихинская набережная;40к2;Шелепиха;Sydney City
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/301910921/;Москва;sale;flat;20;23;2;68.1;33709500;Басманный; Фридриха Энгельса;56;Бауманская;Премиум-квартал 
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/300942839/;Москва;sale;flat;2;7;2;82.6;38000000;Беговой;Ленинградский проспект;15С28;Белорусская;Bolshevik
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/304065669/;Москва;sale;flat;9;17;2;49.8;56313000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
Villagio Realty;real_estate_agent;https://www.cian.ru/sale/flat/303902201/;Москва;sale;flat;17;24;2;45.0;37000000;Хорошевский;Хорошевское шоссе;25Ак2;Полежаевская;Династия
Hutton Development;developer;https://www.cian.ru/sale/flat/303616433/;Москва;sale;flat;5;6;2;75.6;181440000;Якиманка;Софийская набережная;34С3;Новокузнецкая;Клубный дом DUO
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/299890518/;Москва;sale;flat;9;40;1;41.5;32000000;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
Ташир;developer;https://www.cian.ru/sale/flat/264099911/;Москва;sale;flat;2;32;2;76.6;31344720;Черемушки;Херсонская ;43к5;Зюзино;ONYX Deluxe
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/299860953/;Москва;sale;flat;9;41;1;40.5;27000000;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/298516183/;Москва;sale;flat;2;12;2;85.94;38612842;;;В19 кв-л;Павшино;Сберсити ЖК
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/292933473/;Москва;sale;flat;16;40;1;41.1;31500000;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/299934989/;Москва;sale;flat;4;13;2;81.26;34421736;;;В21 кв-л;Опалиха;Сберсити ЖК
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/301763282/;Москва;sale;flat;39;41;2;56.9;40000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/298516517/;Москва;sale;flat;2;11;2;47.0;24769000;;;В14 кв-л;Павшино;Сберсити ЖК
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/301550653/;Москва;sale;flat;13;41;1;41.5;31000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
СИТИ21;developer;https://www.cian.ru/sale/flat/292035501/;Москва;sale;flat;14;15;2;75.8;41390372;Останкинский;проспект Мира;95;Алексеевская;Hill8
Ramenky Realty;real_estate_agent;https://www.cian.ru/sale/flat/303087900/;Москва;sale;flat;8;8;2;101.61;135000000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
Sminex;developer;https://www.cian.ru/sale/flat/293713880/;Москва;sale;flat;2;14;2;85.6;168270000;Якиманка;;;Боровицкая;Лаврушинский ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/303582856/;Москва;sale;flat;4;21;2;56.2;60000000;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/293721204/;Москва;sale;flat;3;13;2;82.36;44400276;;;В20 кв-л;Павшино;Сберсити ЖК
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/303800679/;Москва;sale;flat;50;64;2;85.0;59000000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
Regions Development;developer;https://www.cian.ru/sale/flat/304060514/;Москва;sale;flat;2;23;2;72.1;35109224;Нагатинский затон;проспект Андропова;9/1к2;Технопарк;Dream Towers
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/298050415/;Москва;sale;flat;11;13;2;83.0;99000000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
Ташир;developer;https://www.cian.ru/sale/flat/274701405/;Москва;sale;flat;2;17;2;43.3;27062500;Раменки;Мичуринский проспект;вл30Б;Ломоносовский проспект;Legacy
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/304178493/;Москва;sale;flat;7;20;2;59.4;28990000;Хорошево-Мневники;к2/1;к2/1;Хорошёво;Сидней Сити ЖК
MR Group;developer;https://www.cian.ru/sale/flat/302792260/;Москва;sale;flat;4;13;2;85.76;108088817;Мещанский;Садовая-Сухаревская ;14;Цветной бульвар;Клубный дом Forum
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/303677788/;Москва;sale;flat;2;6;2;60.5;57475000;Пресненский;Большой Предтеченский переулок;22;Улица 1905 года;
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/299370748/;Москва;sale;flat;3;6;2;44.0;23232000;Хорошево-Мневники; Саляма Адиля;2А;Народное Ополчение;Wellton SPA Residence
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/303635688/;Москва;sale;flat;2;5;2;106.0;160000000;Тверской;Никольская ;10;Площадь Революции;St. Nickolas
EraOneHolding;developer;https://www.cian.ru/sale/flat/284404561/;Москва;sale;flat;8;8;2;121.2;159473684;Арбат; Арбат;24;Смоленская;Turandot Residences
Novel Estates;real_estate_agent;https://www.cian.ru/sale/flat/301247847/;Москва;sale;flat;15;77;2;98.0;88000000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
Стадион Спартак;developer;https://www.cian.ru/sale/flat/298406172/;Москва;sale;flat;4;13;2;66.7;32609630;Покровское-Стрешнево;Северо-Западный ао;;Спартак;Клубный Город на Реке Примавера ЖК
Ramenky Realty;real_estate_agent;https://www.cian.ru/sale/flat/303087894/;Москва;sale;flat;9;14;2;99.71;118450000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
COLDY;developer;https://www.cian.ru/sale/flat/297997312/;Москва;sale;flat;2;14;2;147.05;303725598;Хамовники;переулок 1-й Тружеников;12;Киевская;Хамовники 12
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/300074305/;Москва;sale;flat;5;38;1;39.8;20000000;Останкинский; Вильгельма Пика;;Ботанический сад;Режиссёр
VESPER;developer;https://www.cian.ru/sale/flat/287317369/;Москва;sale;flat;5;21;1;65.9;78259545;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303137027/;Москва;sale;flat;2;5;2;106.0;160000000;Тверской;Никольская ;10;Площадь Революции;St. Nickolas
Sminex;developer;https://www.cian.ru/sale/flat/303125490/;Москва;sale;flat;11;14;2;67.1;39190000;Раменки;проспект Генерала Дорохова;39к2М;Ломоносовский проспект;Собрание клубных домов West Garden
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/298216770/;Москва;sale;flat;13;44;2;73.2;29500000;Хорошево-Мневники;к2/2;к2/2;Шелепиха;Сидней Сити ЖК
MR Group;developer;https://www.cian.ru/sale/flat/298278959/;Москва;sale;flat;2;37;2;64.3;41616568;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/299509241/;Москва;sale;flat;24;24;2;57.4;39000000;Хорошево-Мневники;Шелепихинская набережная;34к3зд7;Шелепиха;Сердце Столицы
Трансстройинвест;developer;https://www.cian.ru/sale/flat/301925930/;Москва;sale;flat;11;23;2;44.1;21442891;Очаково-Матвеевское;Очаково мкр;;Озёрная;ОМ ЖК
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/304106467/;Москва;sale;flat;4;4;2;51.1;37000000;Хорошевский;Ленинградский проспект;37/7;Аэропорт;Прайм Парк
ANT Development;developer;https://www.cian.ru/sale/flat/303519421/;Москва;sale;flat;2;10;2;59.8;66618396;Дорогомилово;;3к8;Поклонная;Виктори Парк Резиденсез ЖК
Novel Estates;real_estate_agent;https://www.cian.ru/sale/flat/304063027/;Москва;sale;flat;2;16;2;60.0;36500000;Хамовники;Фрунзенская набережная;50;Спортивная;
КРОСТ;developer;https://www.cian.ru/sale/flat/296745429/;Москва;sale;flat;26;28;2;47.5;22182500;Хорошево-Мневники; Генерала Глаголева;;;CRYSTAL Трилогия
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/303071841/;Москва;sale;flat;19;32;1;32.2;25000000;Пресненский;Шмитовский проезд;39к2;Шелепиха;Headliner
ANT Development;developer;https://www.cian.ru/sale/flat/303519450/;Москва;sale;flat;22;34;2;50.6;59236384;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303337092/;Москва;sale;flat;3;7;2;91.2;80000000;Басманный;Гороховский переулок;12с5;Курская;Гороховский 12
Группа Родина;developer;https://www.cian.ru/sale/flat/285606685/;Москва;sale;flat;2;23;2;62.5;31200000;Ростокино;;к2;Ботанический сад;Союз ЖК
ALFA real estate;real_estate_agent;https://www.cian.ru/sale/flat/300964449/;Москва;sale;flat;20;22;2;38.4;15500000;Южное Тушино;бульвар Яна Райниса;45К2;Сходненская;
Sminex;developer;https://www.cian.ru/sale/flat/303262395/;Москва;sale;flat;2;21;2;59.52;27900000;Марфино; Академика Королева;21;Бутырская;Дом Достижение
ALFA real estate;real_estate_agent;https://www.cian.ru/sale/flat/300967746/;Москва;sale;flat;6;24;2;40.0;16500000;Митино;Муравская ;46к3;Пятницкое шоссе;Эко-квартал Аквилон Митино
GloraX;developer;https://www.cian.ru/sale/flat/303476931/;Москва;sale;flat;10;21;2;67.62;38059999;Беговой; 1-я Ямского Поля;28С3;Белорусская;GloraX Premium Белорусская
MHEstate - Элитная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/303820905/;Москва;sale;flat;10;14;1;65.2;35000000;Мещанский; Гиляровского;50;Проспект Мира;
Sminex;developer;https://www.cian.ru/sale/flat/304094767/;Москва;sale;flat;3;24;2;55.9;77660000;Пресненский;Электрический переулок;1кАБ;Белорусская;Квартал Тишинский бульвар
ALFA real estate;real_estate_agent;https://www.cian.ru/sale/flat/301407636/;Москва;sale;flat;21;22;1;38.5;15500000;Южное Тушино;бульвар Яна Райниса;45К2;Сходненская;
Центр-Инвест;developer;https://www.cian.ru/sale/flat/298329474/;Москва;sale;flat;7;9;2;69.9;69134455;Таганский;Серебрянический переулок;8;Китай-город;Титул на Серебрянической
GLINCOM;official_representative;https://www.cian.ru/sale/flat/297952301/;Москва;sale;flat;2;6;2;90.0;34900000;Алексеевский;проспект Мира;102к2;Алексеевская;Парк Мира
MR Group;developer;https://www.cian.ru/sale/flat/294196808/;Москва;sale;flat;33;41;2;75.2;38352000;Филевский парк;Багратионовский проезд;5Ак1;Фили;Filicity
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/301019177/;Москва;sale;flat;31;34;1;36.0;22000000;Хорошево-Мневники;Шелепихинская набережная;34;Шелепиха;Сердце Столицы
MR Group;developer;https://www.cian.ru/sale/flat/290790439/;Москва;sale;flat;2;57;2;58.48;32674530;Филевский парк;;;Фили;Фили Сити ЖК
Marry Lane Group;real_estate_agent;https://www.cian.ru/sale/flat/303980600/;Москва;sale;flat;4;10;2;44.3;34000000;Беговой; 1-я Ямского Поля;1к1;Белорусская;Slava
Трансстройинвест;developer;https://www.cian.ru/sale/flat/301764354/;Москва;sale;flat;2;8;2;63.6;88149600;Мещанский;Большой Кисельный переулок;11/2с2;Тургеневская;Frank's house
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/301035843/;Москва;sale;flat;3;7;2;99.0;80000000;Басманный;Гороховский переулок;12;Курская;Гороховский 12
Ташир;developer;https://www.cian.ru/sale/flat/302722354/;Москва;sale;flat;2;16;2;46.8;23868000;Даниловский; Серпуховский Вал;1;Тульская;DECO RESIDENCE (Апартаменты премиум-класса)
Marry Lane Group;real_estate_agent;https://www.cian.ru/sale/flat/292853214/;Москва;sale;flat;36;41;2;58.3;33000000;Раменки;1-й Сетуньский проезд;вл8;Кутузовская;Hide
Группа Родина;developer;https://www.cian.ru/sale/flat/303533945/;Москва;sale;flat;4;14;2;49.8;26021300;Можайский;;;Давыдково;Родина Парк ЖК
Life Style;real_estate_agent;https://www.cian.ru/sale/flat/301907258/;Москва;sale;flat;2;12;1;38.7;10600000;Строгино; Исаковского;2К1;Мякинино;
Tekta Group;developer;https://www.cian.ru/sale/flat/303506169/;Москва;sale;flat;3;22;2;39.9;17288670;Нагорный;;1;Нагорная;Твелв ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/301258691/;Москва;sale;flat;2;21;2;57.23;59000000;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
Главстрой;developer;https://www.cian.ru/sale/flat/298342644/;Москва;sale;flat;5;20;1;41.0;22168987;Филевский парк;Береговой проезд;2;Народное Ополчение;Береговой-2
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/294872333/;Москва;sale;flat;17;18;2;117.0;179000000;Пресненский;2-я Звенигородская ;11;Улица 1905 года;Резиденция МОНЭ
VESPER;developer;https://www.cian.ru/sale/flat/289484529/;Москва;sale;flat;8;9;1;64.5;89010000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/300701528/;Москва;sale;flat;11;41;2;67.1;33000000;Хорошево-Мневники;Шелепихинская набережная;34к6;Шелепиха;Сердце Столицы
Ташир;developer;https://www.cian.ru/sale/flat/299137381/;Москва;sale;flat;4;21;2;47.9;19339625;Очаково-Матвеевское;Аминьевское шоссе;6;Давыдково;West Tower (Апартаменты бизнес-класса)
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/302177521/;Москва;sale;flat;3;15;2;58.54;65000000;Пресненский; Костикова;4к4;Улица 1905 года;Lucky
MR Group;developer;https://www.cian.ru/sale/flat/299093496/;Москва;sale;flat;18;41;1;37.7;23930985;Даниловский;Дубининская ;59к7;Серпуховская;Павелецкая Сити
ЗАПАДНЫЙ САД;real_estate_agent;https://www.cian.ru/sale/flat/303321179/;Москва;sale;flat;7;14;2;69.0;36799000;Раменки;проспект Генерала Дорохова;39к1В;Минская;Собрание клубных домов West Garden
Prime Life Development;developer;https://www.cian.ru/sale/flat/299132492/;Москва;sale;flat;6;28;2;59.76;29898807;Нагатино-Садовники;Нагатинская ;к1вл1;Нагатинская;Первый Нагатинский
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/302203106/;Москва;sale;flat;8;19;1;30.8;20750000;Беговой;Ленинградский проспект;29к3;Динамо;Царская площадь
КОРТРОС;developer;https://www.cian.ru/sale/flat/296640150/;Москва;sale;flat;5;49;2;59.19;23143290;Марьина роща;;;Марьина Роща;Тэйт ЖК
HYDE Residences;real_estate_agent;https://www.cian.ru/sale/flat/303400078/;Москва;sale;flat;35;78;2;82.0;55600000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
MR Group;developer;https://www.cian.ru/sale/flat/303880112/;Москва;sale;flat;2;54;2;59.94;29490480;Хорошево-Мневники;;;Полежаевская;Джойс ЖК
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/303919506/;Москва;sale;flat;22;43;1;44.0;29300000;Хорошево-Мневники;Шелепихинская набережная;34к6;Шелепиха;Сердце Столицы
Пионер;developer;https://www.cian.ru/sale/flat/303979491/;Москва;sale;flat;4;25;2;56.59;23201273;Москворечье-Сабурово;;;Варшавская;Лайф Варшавская ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303753508/;Москва;sale;flat;37;37;1;48.0;42000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Sminex;developer;https://www.cian.ru/sale/flat/299801831/;Москва;sale;flat;2;23;2;56.0;56130000;Пресненский;;;Улица 1905 года;Лайф Тайм ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301782648/;Москва;sale;flat;10;21;1;65.0;65000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Основа;developer;https://www.cian.ru/sale/flat/292154031/;Москва;sale;flat;6;28;2;41.3;17065160;Хорошево-Мневники;;;Полежаевская;Эмоушен ЖК
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/299330003/;Москва;sale;flat;63;66;1;86.0;96000000;Пресненский;1-й Красногвардейский проезд;22;Деловой центр;NEVA TOWERS
Sminex;developer;https://www.cian.ru/sale/flat/294328854/;Москва;sale;flat;3;6;2;120.3;226580000;Басманный;Потаповский переулок;5С4;Чистые пруды;Чистые Пруды
ID 109135729;realtor;https://www.cian.ru/sale/flat/303087972/;Москва;sale;flat;3;21;2;58.54;61000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
LEGENDA Intelligent Development;developer;https://www.cian.ru/sale/flat/301551495/;Москва;sale;flat;7;34;2;59.1;22762661;Левобережный;Ленинградское шоссе;;Беломорская;Северный порт. Береговые кварталы
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/303027445/;Москва;sale;flat;3;20;1;59.0;61800000;Пресненский; Костикова;4к6;Улица 1905 года;Lucky
Tekta Group;developer;https://www.cian.ru/sale/flat/301260582/;Москва;sale;flat;14;27;1;28.1;19453630;Даниловский;;;Павелецкая;Era
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/301165914/;Москва;sale;flat;7;24;1;49.0;21500000;Хорошево-Мневники; Народного Ополчения;11;Народное Ополчение;Wellton park
Главстрой;developer;https://www.cian.ru/sale/flat/301772066/;Москва;sale;flat;3;35;1;39.08;20505276;Котловка;31/2;31/2;Профсоюзная;Новые Академики ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/303060724/;Москва;sale;flat;8;32;2;63.4;51000000;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
Пионер;developer;https://www.cian.ru/sale/flat/301459888/;Москва;sale;flat;6;18;2;48.4;36518949;Донской;2-й Донской проезд;10;Ленинский проспект;SHIFT
Космополис;real_estate_agent;https://www.cian.ru/sale/flat/303570625/;Москва;sale;flat;12;12;2;45.6;9750000;Бибирево;Белозерская ;1А;Алтуфьево;
Пионер;developer;https://www.cian.ru/sale/flat/304227706/;Москва;sale;flat;4;47;2;48.9;30951401;Даниловский;;;Павелецкая;Хай Лайф ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/300983679/;Москва;sale;flat;13;21;2;80.3;54900000;Раменки;Мосфильмовская ;88к4;Раменки;Мосфильмовский
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/292534789/;Москва;sale;flat;2;25;2;54.5;18393750;Соколиная гора;;;Соколиная гора;Семеновский Парк 2 ЖК
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/302362462/;Москва;sale;flat;13;36;2;64.0;40900000;Хорошево-Мневники;Шелепихинская набережная;34к3зд6;Шелепиха;Сердце Столицы
Донстрой;developer;https://www.cian.ru/sale/flat/304095700/;Москва;sale;flat;3;16;2;81.6;60024960;Раменки; Сергея Бондарчука;2;Мичуринский проспект;Река
