author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Самолет Плюс Москва ЦАО;real_estate_agent;https://www.cian.ru/sale/flat/301489628/;Москва;sale;flat;5;9;1;31.9;10500000;Нагорный;Болотниковская ;9;Варшавская;
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/302854968/;Москва;sale;flat;5;9;2;44.0;10500000;Восточное Дегунино;Дубнинская ;24К5;Бескудниково;
Century21 Феникс;real_estate_agent;https://www.cian.ru/sale/flat/301917701/;Москва;sale;flat;14;15;2;37.8;10450000;Коньково;Профсоюзная ;73;Беляево;
Новые Ватутинки;real_estate_agent;https://www.cian.ru/sale/flat/297590857/;Москва;sale;flat;2;3;1;42.6;10500000;; Гимнастическая;3;Коммунарка;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/304552357/;Москва;sale;flat;8;9;2;42.9;10500000;Ховрино;Онежская ;57/34;Грачёвская;
Манхэттен эстейт;real_estate_agent;https://www.cian.ru/sale/flat/303968391/;Москва;sale;flat;13;16;2;60.0;10500000;;;23Б;Апрелевка;
ОГРК;real_estate_agent;https://www.cian.ru/sale/flat/289770726/;Москва;sale;flat;12;16;1;34.4;10500000;Кунцево;Кунцевская ;13/6;Рабочий посёлок;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/302617711/;Москва;sale;flat;8;12;1;35.0;10500000;Северное Медведково;Заревый проезд;7;Медведково;
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/303921740/;Москва;sale;flat;9;35;1;35.7;10450000;Ярославский;проспект Мира;222;Ростокино;МИРАПОЛИС
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/291725760/;Москва;sale;flat;7;28;1;34.5;10453500;Отрадное;Отрадная ;4А;Отрадное;Малевич
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/303486795/;Москва;sale;flat;16;16;1;41.0;10600000;Выхино-Жулебино;Тарханская ;6;Жулебино;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/304032941/;Москва;sale;flat;5;9;2;45.0;10650000;Рязанский; Коновалова;7;Чухлинка;
Кристина Лебедева;realtor;https://www.cian.ru/sale/flat/302960524/;Москва;sale;flat;2;4;2;45.64;10738635;Соколиная гора;Щербаковская ;53К17;Измайлово;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/297474140/;Москва;sale;flat;1;4;2;51.0;10800000;; 4-я Лесные поляны;1;Коммунарка;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/300211637/;Москва;sale;flat;5;24;1;34.6;10800000;Солнцево;Производственная ;17АС4;Боровское шоссе;Лучи
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/303853768/;Москва;sale;flat;7;15;1;37.3;10890000;; Василия Ощепкова;2;Коммунарка;Москвичка
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/304513567/;Москва;sale;flat;5;11;1;41.4;10800000;;бульвар Андрея Тарковского;7;Рассказовка;Рассказово
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/295795176/;Москва;sale;flat;4;24;1;34.6;10800000;Солнцево;;к15;Солнцево;Лучи ЖК
Century21 Феникс;real_estate_agent;https://www.cian.ru/sale/flat/300726879/;Москва;sale;flat;1;5;1;14.0;10770000;Басманный; Покровка;31С1г;Курская;
Apsis Globe;developer;https://www.cian.ru/sale/flat/296193001/;Москва;sale;flat;6;9;1;37.04;10800000;Косино-Ухтомский; Николая Старостина;вл14;Реутов;МФК CITIMIX Новокосино
На Петровке;real_estate_agent;https://www.cian.ru/sale/flat/303684344/;Москва;sale;flat;6;9;1;36.0;10999999;;бульвар Веласкеса;8;Филатов Луг;Испанские кварталы
METRAGE;real_estate_agent;https://www.cian.ru/sale/flat/298111522/;Москва;sale;flat;4;9;1;32.4;10990000;Лефортово;Сторожевая ;18;Лефортово;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/304614142/;Москва;sale;flat;2;9;2;44.0;10900000;Чертаново Центральное; Красного Маяка;9;Пражская;
Агентство Алисы Спиридоновой;real_estate_agent;https://www.cian.ru/sale/flat/304067703/;Москва;sale;flat;13;16;2;50.0;10950000;; 3-я Нововатутинская;4;Ольховая;Новые Ватутинки, мкр. Центральный
АЯКС;real_estate_agent;https://www.cian.ru/sale/flat/303577268/;Москва;sale;flat;5;31;1;24.1;10999910;Нижегородский;Газгольдерная ;10;Нижегородская;Profit
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/302837769/;Москва;sale;flat;15;36;1;36.0;11000000;Ярославский;проспект Мира;222;Ростокино;МИРАПОЛИС
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/304398934/;Москва;sale;flat;1;16;1;35.6;11000000;Царицыно;Бакинская ;21;Царицыно;
Омега-Эстейт;real_estate_agent;https://www.cian.ru/sale/flat/303983520/;Москва;sale;flat;13;17;1;37.6;11000000;; Бачуринская;7к2;Коммунарка;
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/300920332/;Москва;sale;flat;1;12;1;38.9;11000000;Бабушкинский;Енисейская ;26;Бабушкинская;
ОГРК;real_estate_agent;https://www.cian.ru/sale/flat/304704258/;Москва;sale;flat;6;12;2;46.6;11150000;Бирюлево Восточное;Бирюлевская ;14К1;Царицыно;
One Life;real_estate_agent;https://www.cian.ru/sale/flat/300966814/;Москва;sale;flat;5;18;2;48.2;11100000;Останкинский;Березовая аллея;19к3;Ботанический сад;Апарт-комплекс Легендарный квартал
Новое Летово;developer;https://www.cian.ru/sale/flat/296320762/;Москва;sale;flat;2;7;1;39.0;11111100;;;к1;Филатов Луг;Новое Летово ЖК
Парадайс;real_estate_agent;https://www.cian.ru/sale/flat/303275375/;Москва;sale;flat;7;13;2;54.0;11200000;;шоссе Рязановское;31к1;Силикатная;
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/303484799/;Москва;sale;flat;14;14;1;36.0;11200000;Богородское;Игральная ;3;Бульвар Рокоссовского;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/302750097/;Москва;sale;flat;10;16;1;31.1;11200000;Коньково; Островитянова;53К2;Беляево;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/304136585/;Москва;sale;flat;4;14;1;34.9;11200000;Очаково-Матвеевское;Озерная ;31К1;Озёрная;
Бест на Речном;real_estate_agent;https://www.cian.ru/sale/flat/304472836/;Москва;sale;flat;12;14;2;31.5;11200000;Марфино;Ботаническая ;33Вс1;Окружная;
ID 514843;unknown;https://www.cian.ru/sale/flat/304647484/;Москва;sale;flat;9;9;1;33.1;11200000;Северное Измайлово;9-я Парковая ;47К1;Щёлковская;
ID 590019;unknown;https://www.cian.ru/sale/flat/303618522/;Москва;sale;flat;3;4;1;45.0;11200000;Даниловский;Автозаводская ;23С928;ЗИЛ;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/303947499/;Москва;sale;flat;2;12;2;46.0;11300000;Отрадное;Алтуфьевское шоссе;40;Дегунино;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/304107366/;Москва;sale;flat;2;5;1;32.8;11300000;Богородское;Ивантеевская ;30К2;Бульвар Рокоссовского;
Новые Ватутинки;real_estate_agent;https://www.cian.ru/sale/flat/301428099/;Москва;sale;flat;17;17;2;53.8;11400000;; 3-я Нововатутинская;13к1;Ольховая;Новые Ватутинки, мкр. Центральный
ЛэндЛ;real_estate_agent;https://www.cian.ru/sale/flat/299426713/;Москва;sale;flat;11;17;1;37.8;11300000;Солнцево;Солнцевский проспект;19;Солнцево;
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/304059315/;Москва;sale;flat;2;17;1;37.8;11416773;;;к1;Боровское шоссе;Переделкино Ближнее Город-парк
МонАрх;developer;https://www.cian.ru/sale/flat/295830911/;Москва;sale;flat;25;30;1;36.8;11400640;Черемушки; Наметкина;10Д;Воронцовская;Комплекс апартаментов AIST RESIDENCE
NEWPOLIS;real_estate_agent;https://www.cian.ru/sale/flat/300992263/;Москва;sale;flat;24;24;1;44.0;11500000;Северное Бутово; Грина;1к8;Бульвар Дмитрия Донского;
ИП Самарская М.И.;real_estate_agent;https://www.cian.ru/sale/flat/302227734/;Москва;sale;flat;11;17;1;42.0;11500000;;;2;Рассказовка;Юго-Западный
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/303532931/;Москва;sale;flat;1;35;1;33.5;11499000;Очаково-Матвеевское;к1.1;к1.1;Очаково;Новое Очаково ЖК
МИЦ-Столичный ипотечный центр недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/301078794/;Москва;sale;flat;2;15;2;41.6;11500000;; Эдварда Грига;18к3;Потапово;Скандинавия
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/303485967/;Москва;sale;flat;4;9;2;45.9;11500000;Бескудниковский;Бескудниковский бульвар;32К1;Яхромская;
ОГРК;real_estate_agent;https://www.cian.ru/sale/flat/302865455/;Москва;sale;flat;5;9;1;40.5;11500000;; Василия Аксенова;2;Рассказовка;
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/301199238/;Москва;sale;flat;4;12;1;45.0;11500000;; Липовый Парк;7;Коммунарка;Москва А101
ID 118898256;homeowner;https://www.cian.ru/sale/flat/304475109/;Москва;sale;flat;3;12;1;38.6;11500000;Бутырский; Милашенкова;12Д;Фонвизинская;
Самолет Плюс Москва ЦАО;real_estate_agent;https://www.cian.ru/sale/flat/301731753/;Москва;sale;flat;4;9;2;57.7;11700000;; Андерсена;2;Коммунарка;
Самолет Плюс Москва ЦАО;real_estate_agent;https://www.cian.ru/sale/flat/304480127/;Москва;sale;flat;6;12;1;31.8;11695000;Чертаново Северное;Сумской проезд;2К1;Чертановская;
БЕСТ на Октябрьской;real_estate_agent;https://www.cian.ru/sale/flat/303977373/;Москва;sale;flat;8;14;2;60.8;11700000;Южное Бутово; Маршала Савицкого;32к1;Щербинка;
МИР-Н;real_estate_agent;https://www.cian.ru/sale/flat/301363091/;Москва;sale;flat;7;9;2;72.3;11650000;; Семена Гордого;3;Крёкшино;
Apsis Globe;developer;https://www.cian.ru/sale/flat/296192809/;Москва;sale;flat;2;9;1;41.96;11750000;Косино-Ухтомский; Николая Старостина;вл14;Реутов;МФК CITIMIX Новокосино
Маленков недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/301389273/;Москва;sale;flat;3;9;1;31.5;11800000;Очаково-Матвеевское;Нежинская ;13;Матвеевская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/300327979/;Москва;sale;flat;12;17;2;36.6;11800000;; Лобановский Лес;13;Прокшино;Прокшино
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/304371562/;Москва;sale;flat;3;9;2;38.0;11800000;Перово;1-я Владимирская ;23К1;Перово;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/304295959/;Москва;sale;flat;1;5;2;44.5;11800000;Царицыно; Медиков;26К2;Царицыно;
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/303485110/;Москва;sale;flat;4;8;2;45.0;11800000;Богородское;Бойцовая ;2/30;Бульвар Рокоссовского;
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/304249449/;Москва;sale;flat;7;12;1;35.3;11816700;Ивановское; Молостовых;14К5;Новогиреево;
МонАрх;developer;https://www.cian.ru/sale/flat/295830831/;Москва;sale;flat;23;30;1;39.1;11823840;Черемушки; Наметкина;10Д;Воронцовская;Комплекс апартаментов AIST RESIDENCE
Московский Риэлторский Центр;real_estate_agent;https://www.cian.ru/sale/flat/303478933/;Москва;sale;flat;7;12;2;51.8;11999999;Ивановское;Свободный проспект;11К3;Новогиреево;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/303116926/;Москва;sale;flat;5;19;1;38.1;11950000;Северный;Дмитровское шоссе;169К4;Физтех;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/303129476/;Москва;sale;flat;8;16;1;36.0;11900000;; Эдварда Грига;18к1;Потапово;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/303219076/;Москва;sale;flat;4;9;2;72.6;11900000;; Семена Гордого;6;Крёкшино;
Авеню-Мск;real_estate_agent;https://www.cian.ru/sale/flat/303529695/;Москва;sale;flat;12;24;2;39.3;11900000;; Бачуринская;11Ак2;Коммунарка;
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/298966070/;Москва;sale;flat;2;9;2;44.4;11900000;Новогиреево; Алексея Дикого;20;Новогиреево;
WHITE BROKER;real_estate_agent;https://www.cian.ru/sale/flat/298834180/;Москва;sale;flat;1;9;2;35.7;11900000;Фили-Давыдково;Большая Филевская ;53К2;Пионерская;
Маленков недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/303302692/;Москва;sale;flat;9;9;1;30.0;11900000;Богородское;Малая Черкизовская ;64;Преображенская площадь;
ID 22653;real_estate_agent;https://www.cian.ru/sale/flat/292603208/;Москва;sale;flat;5;14;2;64.4;11900000;; Кварцевая;5к3;Бунинская аллея;
АЯКС;real_estate_agent;https://www.cian.ru/sale/flat/301732465/;Москва;sale;flat;5;17;1;39.6;11999000;; Бориса Пастернака;31к2;Рассказовка;
Самолет Плюс Москва ЦАО;real_estate_agent;https://www.cian.ru/sale/flat/294302985/;Москва;sale;flat;5;12;2;54.0;12000000;Восточное Дегунино;Керамический проезд;69К1;Бескудниково;
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/303487399/;Москва;sale;flat;3;9;2;44.0;12000000;Люблино;Краснодарская ;35;Люблино;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/303790626/;Москва;sale;flat;3;9;2;44.3;12000000;Марьино;Донецкая ;13;Марьино;
Маленков недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/300753621/;Москва;sale;flat;9;9;2;33.2;12000000;Северное Тушино; Фомичевой;7К2;Сходненская;
ID 117350109;homeowner;https://www.cian.ru/sale/flat/304738721/;Москва;sale;flat;1;9;2;42.8;12000000;Рязанский;Зарайская ;35;Плющево;
ВЫБОР;developer;https://www.cian.ru/sale/flat/300605797/;Москва;sale;flat;2;17;2;55.6;12076320;;;;;Академик
CENTURY 21 Перспектива;real_estate_agent;https://www.cian.ru/sale/flat/302814209/;Москва;sale;flat;3;5;2;41.5;12200000;Кузьминки; Федора Полетаева;8К5;Кузьминки;
ОГРК;real_estate_agent;https://www.cian.ru/sale/flat/302179350/;Москва;sale;flat;3;16;2;60.3;12250000;Можайский; Горбунова;19К1;Сетунь;
Самолет Плюс Москва ЦАО;real_estate_agent;https://www.cian.ru/sale/flat/301968220/;Москва;sale;flat;12;12;2;53.0;12300000;Люблино;Совхозная ;3;Люблино;
МРИЭЛТОР - офис Отрадное;real_estate_agent;https://www.cian.ru/sale/flat/301730779/;Москва;sale;flat;8;14;1;39.0;12450000;Зябликово;Ореховый бульвар;61К1;Красногвардейская;
Главстрой;developer;https://www.cian.ru/sale/flat/299654762/;Москва;sale;flat;8;30;1;37.6;12434620;Рязанский;Рязанский проспект;;Окская;balance
Владис;real_estate_agent;https://www.cian.ru/sale/flat/303625789/;Москва;sale;flat;1;4;2;55.4;12500000;Коптево;3-й Новомихалковский проезд;16;Коптево;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/304743547/;Москва;sale;flat;4;8;2;40.1;12600000;Рязанский;Луховицкая ;2/57;Окская;
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/303486149/;Москва;sale;flat;1;9;2;44.6;12500000;Раменки;Винницкая ;5;Раменки;
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/303486093/;Москва;sale;flat;6;22;1;38.8;12500000;Свиблово;Игарский проезд;19;Свиблово;
Самолет Плюс Москва ЦАО;real_estate_agent;https://www.cian.ru/sale/flat/300018015/;Москва;sale;flat;8;24;1;41.0;12500000;Выхино-Жулебино;Рязанский проспект;97к2;Выхино;
METRAGE;real_estate_agent;https://www.cian.ru/sale/flat/299137067/;Москва;sale;flat;9;18;2;49.5;12500000;;;1.3;Коммунарка;Дзен-кварталы ЖК
Космополис;real_estate_agent;https://www.cian.ru/sale/flat/303437696/;Москва;sale;flat;11;16;2;53.5;12500000;Бескудниковский; 800-летия Москвы;6;Яхромская;
Бюро Эстейт Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/302309874/;Москва;sale;flat;2;21;2;48.0;12500000;Нижегородский;Автомобильный проезд;4;Калитники;N’ice Loft
Авеню-Мск;real_estate_agent;https://www.cian.ru/sale/flat/303629616/;Москва;sale;flat;1;21;1;36.0;12600000;Коньково; Бутлерова;7Б;Калужская;Букинист
Марина Воронова;realtor;https://www.cian.ru/sale/flat/304541814/;Москва;sale;flat;4;12;2;46.2;12500000;Марьино;Подольская ;1;Перерва;
ID 33195269;realtor;https://www.cian.ru/sale/flat/304502066/;Москва;sale;flat;3;16;1;34.9;12500000;Нижегородский;Смирновская ;4Б;Калитники;
Бест на Речном;real_estate_agent;https://www.cian.ru/sale/flat/304697187/;Москва;sale;flat;9;24;1;40.1;12700000;Южное Медведково;Полярная ;4к2;Бабушкинская;Апарт-комплекс Cleverland
Бюро Эстейт Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/302309924/;Москва;sale;flat;3;21;2;48.0;12700000;Нижегородский;Автомобильный проезд;4;Калитники;N’ice Loft
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/303486937/;Москва;sale;flat;3;5;2;44.0;12650000;Метрогородок;Открытое шоссе;24К41;Бульвар Рокоссовского;
ВЫБОР;developer;https://www.cian.ru/sale/flat/300605926/;Москва;sale;flat;3;19;2;58.9;12734180;;;;;Академик
ОЛ ИНКЛЮЗИВ;real_estate_agent;https://www.cian.ru/sale/flat/303857026/;Москва;sale;flat;5;25;2;45.7;12800000;Покровское-Стрешнево;Волоколамское шоссе;81/2с3;Трикотажная;Апартаментный комплекс Level Стрешнево
Владис;real_estate_agent;https://www.cian.ru/sale/flat/304497174/;Москва;sale;flat;1;12;2;48.0;12800000;Орехово-Борисово Южное;Тамбовская ;8К1;Красногвардейская;
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/303486434/;Москва;sale;flat;2;5;2;43.6;12800000;Преображенское;Просторная ;10К2;Преображенская площадь;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/298037828/;Москва;sale;flat;42;69;1;33.7;12900000;Печатники;;1;Кожуховская;Левел Южнопортовая ЖК
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/304731702/;Москва;sale;flat;29;33;1;34.0;12950000;Чертаново Южное;Дорожная ;46к5;Красный Строитель;Ютаново
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/303469521/;Москва;sale;flat;6;15;1;34.3;12950000;Чертаново Северное;Северное Чертаново мкр;6к608;Чертановская;
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/304375832/;Москва;sale;flat;25;25;1;45.0;12990000;Чертаново Южное;Чертановская ;65;Улица Академика Янгеля;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/304583566/;Москва;sale;flat;18;22;1;36.4;12950000;Орехово-Борисово Северное;Борисовский проезд;16;Шипиловская;
Бюро Эстейт Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/302310118/;Москва;sale;flat;4;21;2;48.0;12900000;Нижегородский;Автомобильный проезд;4;Калитники;N’ice Loft
Александр Никитин;realtor;https://www.cian.ru/sale/flat/303547579/;Москва;sale;flat;2;12;2;37.5;12900000;Зюзино;Болотниковская ;40К1;Зюзино;
Александр Никитин;realtor;https://www.cian.ru/sale/flat/303547423/;Москва;sale;flat;2;12;1;37.5;12900000;Зюзино;Болотниковская ;40К1;Зюзино;
Landis;real_estate_agent;https://www.cian.ru/sale/flat/304426830/;Москва;sale;flat;6;16;2;40.0;12900000;;проспект Магеллана;5;Филатов Луг;
Спартак;developer;https://www.cian.ru/sale/flat/297413638/;Москва;sale;flat;11;14;1;47.5;12907256;Ясенево;Новоясеневский проспект;3В;Тёплый Стан;Комплекс апартаментов LES
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/303484875/;Москва;sale;flat;1;25;2;62.9;13100000;; Никитина;11к8;Рассказовка;
Самолет Плюс Москва ЦАО;real_estate_agent;https://www.cian.ru/sale/flat/297933191/;Москва;sale;flat;4;5;2;56.0;13000000;Марфино; Академика Комарова;11А;Улица Милашенкова;
